docid,num,wdcount,sentence
AP900625-0036,5,8,"Tons of Relief Supplies Arriving, But Distribution Difficult"
AP900621-0186,8,28,"The earthquake that devastated Iran early Thursday took tens of thousands of lives because people were asleep in fragile homes built on flood plains, an earthquake expert said."
AP900621-0186,13,18,Needham said most structures in that area are built of a ceramic-type brick or adobe that collapses easily.
AP900621-0186,17,38,"The shock wave traveled through the mountainous section of coastal Iran where most of the buildings are built on a flood plain of loosely deposited soil that shifts in an earthquake and allows structures to collapse, he said."
AP900621-0186,18,22,"The 7.7-magnitude quake was the largest ever recorded in that area, where two major plates of the earth's crust meet, Needhams said."
LA062590-0096,21,17,"Estimates of the number killed in the devastating quake reached 50,000, with an additional 200,000 injured."
LA062390-0068,19,16,"Iranian President Hashemi Rafsanjani, who toured the stricken region Friday, also appealed for international aid ."
LA062290-0169,19,21,Iran reportedly said it would accept aid from all countries -- including Iraq -- but excluded Israel and South Africa .
AP900625-0036,10,32,"Planes loaded with food, medicine and tents are converging on earthquake-stricken Iran from around the world, among them the first private American relief mission to the country in more than a decade."
AP900625-0036,16,30,"The shipment that arrived Sunday was the first of its kind to be accepted by Iran since the hostage crisis of 1979- 80, when 52 Americans were held at the U.S."
AP900625-0036,22,8,The Vatican was among the many international donors.
AP900625-0036,23,19,Eleven planes from West Germany ferried in 145 tons of supplies plus a field hospital with two medical teams.
AP900625-0036,24,5,Nine flights arrived from Turkey.
AP900625-0036,25,11,The Spanish Red Cross sent medicines and food; India sent medicine.
AP900625-0036,26,9,"The Austrian Red Cross shipped tents, blankets and medicine."
AP900625-0036,27,27,"Bernard Kouchner, the French secretary of state for humanitarian action, arrived in Iran on Sunday to coordinate French assistance and evaluate future needs, Radio France Inter said."
AP900625-0036,36,14,The Soviet Union sent in medical teams and supplies from Soviet republics bordering Iran.
LA062290-0134,6,9,IRANIAN MEDIA LOW KEY IN REPORTING ON KILLER QUAKE
AP900623-0022,11,31,"Iran is deliberately underreporting the number of casualties from Thursday's massive earthquake out of fear of a political backlash, leaders of a group seeking to overthrow the country's Islamic leadership say."
SJMN91-06048,19,51,"The initial explosions on Mount Pinatubo at 8:51 a.m. Wednesday sent a 10-mile-high mushroom cloud of swirling ash and rock fragments into the skies over Clark Air Base, forcing the Air Force to evacuate hundreds of American volunteers who had stayed behind to guard it and to tend sensitive communications equipment."
SJMN91-06165048,20,33,"Most of the 16,000 Americans who live and work at Clark were evacuated Monday, when scientists said it was clear that the volcano, dormant for more than six centuries, was returning to life."
SJMN91-06163112,14,22,"Also in peril are the 350,000 residents of Angeles City, where the air base is located, about 50 miles north of Manila."
SJMN91-06165048,26,23,"Philippine civil defense officials said that they have evacuated 19,369 people from villages within a 12-mile radius of the volcano by late Wednesday."
SJMN91-06162032,7,38,"The decision to evacuate one of the largest overseas U.S. military bases was made early today after searing gases, ash and rock shot out of 4,795-foot Mount Pinatubo on Sunday at speeds of up to 60 mph ."
SJMN91-06162032,10,20,"The volcano, about 10 miles west of the air base, came to life last week after six centuries of dormancy."
SJMN91-06162032,12,27,"Gases, ash and molten rock continued to pour out of the mountain today, enshrouding it in thick, gray clouds of ash and steam that rose 12,000 feet."
SJMN91-06162032,30,29,"Areas around the 4,452-foot volcano covered by evacuation warnings were expanded to protect people against possible slides of volcanic debris that could be triggered by the rain, police said.</s>  <s docid=""SJMN91-06162032"" num=""41"" wdcount=""18""> Mount Pinatubo, which last had a major eruption in 1n 1380, began to show signs of activity in April."
SJMN91-06165048,7,37,"Three major new eruptions rocked Mount Pinatubo late Wednesday night and early today, forcing another emergency evacuation of Clark Air Base and increasing fears of even more violent explosions from the long-dormant volcano in the days ahead."
SJMN91-06164210,46,27,"The Americans who fled Clark with a few belongings Monday moved in with sailors and their families at Subic Bay naval base, 50 miles to the southwest."
SJMN91-06167046,13,45,"The U.S. military began flying home hundreds of the 28,000 Americans who crowded onto Subic Bay Naval Base as a bizarre tropical blizzard of thick volcanic ash caused power failures across the base Friday during a third day of increasingly violent eruptions of Mount Pinatubo."
AP890517-0106,7,41,"The Senate Foreign Relations Committee today endorsed the nomination of Michigan Republican activist Peter F. Secchia as ambassador to Italy, but the panel's chairman said he feared Secchia might ``embarrass the United States'' because of his ``penchant for making gross remarks''."
AP890715-0076,10,38,"Gildenhorn, according to Senate sources, is one of several Bush ambassadorial nominees who have been rated ``unqualified'' by the American Academy of Diplomacy, an organization composed of former high ranking diplomats, including all living former secretaries of state."
AP890715-0076,36,56,"Other ambassadorial nominees rated as unqualified by the American Academy of Diplomacy include Florida real estate developer Joseph Zappala, nominated as ambassador to Spain; Melvin L. Sembler, a real estate executive in Florida named to be ambassador to Australia; and Della M. Newman, a Seattle, Wash., real estate broker named to be ambassador to New Zealand."
AP890801-0134,8,28,"Ronald I. Spiers, a veteran U.S. diplomat, will be the new undersecretary-general for General Assembly affairs, the top-ranking American post at the world body, U.N. officials said Tuesday."
AP900102-0114,12,36,"Hinton, currently ambassador to Costa Rica, replaces Ambassador Arthur H. Davis, who was recalled by Bush in protest of what the administration considered the stealing of the Panamanian elections last May by Gen. Manuel Antonio Noriega."
AP900510-0029,9,26,"The Bush administration is expected to name career diplomat Harry Shlaudeman as the first U.S. ambassador to Nicaragua in almost two years, a U.S. official says."
